L,T,M,R,T_c,rho_c
2.08E+19,6.05E+02,9.43E+30,1.53E+07,1.00E+04,3.00E+09
3.29E+20,1.21E+03,9.40E+30,1.53E+07,2.00E+04,2.98E+09
1.28E+21,1.62E+03,8.62E+30,1.59E+07,3.00E+04,2.50E+09
1.72E+21,1.64E+03,6.50E+30,1.78E+07,4.00E+04,1.41E+09
2.13E+21,1.72E+03,5.19E+30,1.93E+07,5.00E+04,9.00E+08
2.31E+21,1.66E+03,4.18E+30,2.10E+07,6.00E+04,5.83E+08
2.78E+21,1.68E+03,3.62E+30,2.21E+07,7.00E+04,4.37E+08
3.02E+21,1.69E+03,3.12E+30,2.33E+07,8.00E+04,3.24E+08
2.98E+21,1.59E+03,2.66E+30,2.47E+07,9.00E+04,2.35E+08
2.98E+21,1.59E+03,2.31E+30,2.60E+07,1.00E+05,1.77E+08
3.58E+21,1.64E+03,2.45E+30,2.54E+07,1.00E+05,2.00E+08
4.75E+21,1.53E+03,1.07E+30,3.39E+07,2.00E+05,3.80E+07
5.99E+21,1.49E+03,6.73E+29,3.98E+07,3.00E+05,1.50E+07
6.08E+21,1.44E+03,4.61E+29,4.53E+07,4.00E+05,7.00E+06
1.04E+22,1.60E+03,4.09E+29,4.72E+07,5.00E+05,5.50E+06
1.11E+22,1.55E+03,3.28E+29,5.10E+07,6.00E+05,3.50E+06
1.26E+22,1.55E+03,2.79E+29,5.41E+07,7.00E+05,2.50E+06
1.45E+22,1.58E+03,2.45E+29,5.69E+07,8.00E+05,1.90E+06
2.00E+22,1.66E+03,2.33E+29,5.81E+07,9.00E+05,1.70E+06
2.32E+22,1.73E+03,2.14E+29,6.02E+07,1.00E+06,1.40E+06
2.26E+23,2.92E+03,1.88E+29,6.81E+07,2.00E+06,9.00E+05
1.12E+24,4.15E+03,1.99E+29,7.49E+07,3.00E+06,8.00E+05
8.36E+24,6.07E+03,2.38E+29,9.73E+07,5.00E+06,6.30E+05
3.46E+25,7.37E+03,3.03E+29,1.26E+08,7.00E+06,5.40E+05
9.92E+25,8.45E+03,3.91E+29,1.66E+08,9.00E+06,4.50E+05
7.79E+19,8.17E+02,9.82E+30,1.51E+07,1.35E+04,3.25E+09
1.07E+21,1.56E+03,9.34E+30,1.54E+07,2.70E+04,2.94E+09
1.69E+21,1.64E+03,6.35E+30,1.79E+07,4.05E+04,1.35E+09
2.27E+21,1.66E+03,4.78E+30,2.00E+07,5.40E+04,7.64E+08
2.69E+21,1.65E+03,3.76E+30,2.18E+07,6.75E+04,4.72E+08
3.04E+21,1.69E+03,3.07E+30,2.34E+07,8.10E+04,3.15E+08
3.12E+21,1.62E+03,2.53E+30,2.51E+07,9.45E+04,2.13E+08
3.40E+21,1.64E+03,2.17E+30,2.65E+07,1.08E+05,1.57E+08
3.93E+21,1.61E+03,1.95E+30,2.75E+07,1.22E+05,1.27E+08
3.93E+21,1.63E+03,1.70E+30,2.89E+07,1.35E+05,9.57E+07
4.03E+21,1.60E+03,1.71E+30,2.88E+07,1.35E+05,9.72E+07
5.36E+21,1.49E+03,7.46E+29,3.84E+07,2.70E+05,1.85E+07
6.79E+21,1.48E+03,4.70E+29,4.50E+07,4.05E+05,7.29E+06
1.10E+22,1.58E+03,3.76E+29,4.86E+07,5.40E+05,4.62E+06
1.20E+22,1.58E+03,2.88E+29,5.35E+07,6.75E+05,2.67E+06
1.52E+22,1.61E+03,2.44E+29,5.69E+07,8.10E+05,1.89E+06
2.04E+22,1.67E+03,2.20E+29,5.94E+07,9.45E+05,1.50E+06
2.69E+22,1.76E+03,2.03E+29,6.17E+07,1.08E+06,1.24E+06
3.43E+22,1.82E+03,1.89E+29,6.39E+07,1.22E+06,1.05E+06
5.18E+22,2.00E+03,1.89E+29,6.45E+07,1.35E+06,1.03E+06
7.74E+23,3.74E+03,1.97E+29,7.18E+07,2.70E+06,8.61E+05
3.71E+24,5.23E+03,2.17E+29,8.46E+07,4.05E+06,7.17E+05
3.04E+25,7.24E+03,2.94E+29,1.20E+08,6.75E+06,5.65E+05
1.24E+26,8.54E+03,4.13E+29,1.74E+08,9.45E+06,4.40E+05
3.77E+26,9.74E+03,5.74E+29,2.35E+08,1.22E+07,3.67E+05
2.33E+18,3.51E+02,9.58E+30,1.52E+07,5.71E+03,3.10E+09
3.68E+19,7.00E+02,9.55E+30,1.52E+07,1.14E+04,3.08E+09
2.30E+20,1.08E+03,1.02E+31,1.48E+07,1.71E+04,3.54E+09
6.53E+20,1.39E+03,9.88E+30,1.50E+07,2.29E+04,3.30E+09
1.08E+21,1.61E+03,8.68E+30,1.58E+07,2.86E+04,2.54E+09
1.34E+21,1.63E+03,7.34E+30,1.69E+07,3.43E+04,1.81E+09
1.62E+21,1.65E+03,6.36E+30,1.79E+07,4.00E+04,1.36E+09
1.73E+21,1.65E+03,5.45E+30,1.90E+07,4.57E+04,9.94E+08
2.00E+21,1.64E+03,4.90E+30,1.98E+07,5.14E+04,8.01E+08
2.31E+21,1.71E+03,4.46E+30,2.04E+07,5.71E+04,6.65E+08
2.08E+21,1.64E+03,4.31E+30,2.07E+07,5.71E+04,6.20E+08
3.13E+21,1.59E+03,1.96E+30,2.75E+07,1.14E+05,1.28E+08
4.00E+21,1.53E+03,1.24E+30,3.22E+07,1.71E+05,5.12E+07
5.37E+21,1.56E+03,9.32E+29,3.56E+07,2.29E+05,2.89E+07
5.96E+21,1.56E+03,7.17E+29,3.89E+07,2.86E+05,1.71E+07
