L ,T, M,R, T_c, rho_c 
1.77E+20,1.21E+03,1.88E+31,1.12E+07,1.00E+04,1.25E+10
7.76E+20,1.59E+03,1.24E+31,1.36E+07,2.00E+04,5.28E+09
2.27E+21,1.99E+03,1.04E+31,1.47E+07,3.00E+04,3.66E+09
6.23E+21,2.50E+03,9.93E+30,1.50E+07,4.00E+04,3.34E+09
1.58E+22,3.10E+03,1.01E+31,1.49E+07,5.00E+04,3.42E+09
3.02E+22,3.66E+03,9.80E+30,1.51E+07,6.00E+04,3.24E+09
5.59E+22,4.29E+03,9.79E+30,1.51E+07,7.00E+04,3.24E+09
9.33E+22,4.96E+03,9.72E+30,1.51E+07,8.00E+04,3.19E+09
1.42E+23,5.42E+03,9.55E+30,1.52E+07,9.00E+04,3.08E+09
2.51E+23,6.21E+03,1.00E+31,1.49E+07,1.00E+05,3.40E+09
1.96E+23,5.96E+03,9.25E+30,1.54E+07,1.00E+05,2.88E+09
3.40E+24,1.18E+04,9.50E+30,1.53E+07,2.00E+05,3.05E+09
5.68E+24,1.26E+04,6.59E+30,1.77E+07,3.00E+05,1.46E+09
7.63E+24,1.27E+04,4.96E+30,1.97E+07,4.00E+05,8.22E+08
8.45E+24,1.26E+04,3.82E+30,2.17E+07,5.00E+05,4.85E+08
8.90E+24,1.22E+04,3.05E+30,2.35E+07,6.00E+05,3.09E+08
9.96E+24,1.24E+04,2.57E+30,2.50E+07,7.00E+05,2.20E+08
1.13E+25,1.24E+04,2.25E+30,2.62E+07,8.00E+05,1.68E+08
1.33E+25,1.24E+04,2.03E+30,2.72E+07,9.00E+05,1.36E+08
1.31E+25,1.22E+04,1.75E+30,2.86E+07,1.00E+06,1.02E+08
2.00E+25,1.18E+04,8.02E+29,3.78E+07,2.00E+06,2.09E+07
4.71E+25,1.38E+04,6.23E+29,4.17E+07,3.00E+06,1.22E+07
1.94E+26,1.91E+04,5.13E+29,4.63E+07,5.00E+06,7.51E+06
7.35E+26,2.53E+04,5.21E+29,4.79E+07,7.00E+06,7.08E+06
1.92E+27,3.27E+04,5.29E+29,5.04E+07,9.00E+06,6.49E+06
3.75E+20,1.36E+03,1.63E+31,1.21E+07,1.35E+04,9.28E+09
1.64E+21,1.86E+03,1.07E+31,1.45E+07,2.70E+04,3.91E+09
6.39E+21,2.51E+03,9.85E+30,1.50E+07,4.05E+04,3.28E+09
2.03E+22,3.36E+03,9.86E+30,1.50E+07,5.40E+04,3.29E+09
4.45E+22,4.01E+03,9.53E+30,1.53E+07,6.75E+04,3.06E+09
9.83E+22,4.96E+03,9.73E+30,1.51E+07,8.10E+04,3.20E+09
1.82E+23,5.81E+03,9.72E+30,1.51E+07,9.45E+04,3.19E+09
3.45E+23,6.71E+03,1.01E+31,1.49E+07,1.08E+05,3.43E+09
4.61E+23,7.42E+03,9.48E+30,1.53E+07,1.22E+05,3.04E+09
7.06E+23,8.03E+03,9.50E+30,1.53E+07,1.35E+05,3.05E+09
8.47E+23,8.39E+03,1.01E+31,1.49E+07,1.35E+05,3.44E+09
5.41E+24,1.27E+04,7.46E+30,1.68E+07,2.70E+05,1.87E+09
7.84E+24,1.27E+04,4.93E+30,1.97E+07,4.05E+05,8.10E+08
7.91E+24,1.24E+04,3.37E+30,2.27E+07,5.40E+05,3.78E+08
9.96E+24,1.21E+04,2.70E+30,2.46E+07,6.75E+05,2.43E+08
1.23E+25,1.24E+04,2.27E+30,2.61E+07,8.10E+05,1.72E+08
1.19E+25,1.19E+04,1.83E+30,2.82E+07,9.45E+05,1.12E+08
1.35E+25,1.22E+04,1.60E+30,2.96E+07,1.08E+06,8.48E+07
1.38E+25,1.21E+04,1.38E+30,3.12E+07,1.22E+06,6.27E+07
1.58E+25,1.21E+04,1.25E+30,3.22E+07,1.35E+06,5.16E+07
3.78E+25,1.32E+04,6.65E+29,4.06E+07,2.70E+06,1.41E+07
1.09E+26,1.65E+04,5.56E+29,4.40E+07,4.05E+06,9.31E+06
5.89E+26,2.49E+04,5.08E+29,4.83E+07,6.75E+06,6.73E+06
2.53E+27,3.39E+04,5.45E+29,5.01E+07,9.45E+06,6.84E+06
6.96E+27,4.30E+04,5.73E+29,5.36E+07,1.22E+07,6.40E+06
5.82E+19,9.70E+02,2.64E+31,9.33E+06,5.71E+03,2.65E+10
2.55E+20,1.27E+03,1.78E+31,1.15E+07,1.14E+04,1.12E+10
5.60E+20,1.49E+03,1.37E+31,1.30E+07,1.71E+04,6.41E+09
1.16E+21,1.70E+03,1.19E+31,1.39E+07,2.29E+04,4.82E+09
2.20E+21,1.93E+03,1.10E+31,1.44E+07,2.86E+04,4.09E+09
3.65E+21,2.15E+03,1.02E+31,1.48E+07,3.43E+04,3.52E+09
6.65E+21,2.49E+03,1.02E+31,1.49E+07,4.00E+04,3.48E+09
9.77E+21,2.73E+03,9.66E+30,1.52E+07,4.57E+04,3.15E+09
1.68E+22,3.13E+03,9.90E+30,1.50E+07,5.14E+04,3.31E+09
2.27E+22,3.44E+03,9.51E+30,1.53E+07,5.71E+04,3.05E+09
2.36E+22,3.43E+03,9.64E+30,1.52E+07,5.71E+04,3.13E+09
3.56E+23,6.87E+03,9.44E+30,1.53E+07,1.14E+05,3.01E+09
1.87E+24,1.01E+04,9.56E+30,1.53E+07,1.71E+05,3.08E+09
4.44E+24,1.25E+04,8.70E+30,1.58E+07,2.29E+05,2.55E+09
4.91E+24,1.24E+04,6.70E+30,1.75E+07,2.86E+05,1.50E+09
5.97E+24,1.26E+04,5.61E+30,1.88E+07,3.43E+05,1.05E+09
7.70E+24,1.27E+04,4.98E+30,1.97E+07,4.00E+05,8.27E+08
8.71E+24,1.27E+04,4.34E+30,2.07E+07,4.57E+05,6.29E+08
8.87E+24,1.27E+04,3.73E+30,2.18E+07,5.14E+05,4.65E+08
8.76E+24,1.26E+04,3.23E+30,2.30E+07,5.71E+05,3.48E+08
