L,T,M,R,T_c,rho_c
2.11E+21,8.32E+02,1.42E+29,8.20E+07,1.00E+06,3.67E+05
2.73E+21,8.66E+02,1.41E+29,8.51E+07,1.10E+06,3.26E+05
3.56E+21,9.00E+02,1.41E+29,8.85E+07,1.21E+06,2.90E+05
4.68E+21,9.36E+02,1.42E+29,9.23E+07,1.33E+06,2.57E+05
6.22E+21,9.73E+02,1.45E+29,9.66E+07,1.47E+06,2.29E+05
8.34E+21,1.01E+03,1.49E+29,1.01E+08,1.62E+06,2.03E+05
9.93E+21,1.05E+03,1.52E+29,1.11E+08,1.78E+06,1.61E+05
1.37E+22,1.09E+03,1.61E+29,1.17E+08,1.96E+06,1.43E+05
1.90E+22,1.13E+03,1.72E+29,1.24E+08,2.15E+06,1.27E+05
2.40E+22,1.18E+03,1.86E+29,1.38E+08,2.37E+06,1.01E+05
3.43E+22,1.23E+03,2.04E+29,1.48E+08,2.61E+06,8.94E+04
4.96E+22,1.27E+03,2.26E+29,1.60E+08,2.87E+06,7.94E+04
6.60E+22,1.32E+03,2.59E+29,1.81E+08,3.16E+06,6.28E+04
9.79E+22,1.37E+03,2.95E+29,1.96E+08,3.48E+06,5.59E+04
1.35E+23,1.42E+03,3.49E+29,2.24E+08,3.83E+06,4.42E+04
2.04E+23,1.48E+03,4.05E+29,2.45E+08,4.22E+06,3.93E+04
2.87E+23,1.54E+03,4.92E+29,2.83E+08,4.64E+06,3.11E+04
4.42E+23,1.60E+03,5.80E+29,3.11E+08,5.11E+06,2.76E+04
8.15E+23,1.69E+03,7.50E+29,3.64E+08,5.62E+06,2.52E+04
1.52E+24,1.82E+03,9.31E+29,4.40E+08,6.19E+06,2.74E+04
2.69E+24,1.95E+03,1.06E+30,4.94E+08,6.81E+06,3.00E+04
4.74E+24,2.09E+03,1.18E+30,5.46E+08,7.50E+06,3.28E+04
8.35E+24,2.13E+03,1.29E+30,5.38E+08,8.25E+06,3.59E+04
1.47E+25,2.12E+03,1.41E+30,5.11E+08,9.09E+06,3.93E+04
2.60E+25,2.16E+03,1.55E+30,5.18E+08,1.00E+07,4.30E+04
