L,T,M,R,T_c,rho_c
5.74E+21,1.09E+03,1.62E+29,7.95E+07,1.00E+06,4.58E+05
7.45E+21,1.13E+03,1.61E+29,8.26E+07,1.10E+06,4.07E+05
9.75E+21,1.18E+03,1.61E+29,8.60E+07,1.21E+06,3.62E+05
1.29E+22,1.22E+03,1.63E+29,8.97E+07,1.33E+06,3.22E+05
1.71E+22,1.27E+03,1.67E+29,9.40E+07,1.47E+06,2.86E+05
2.31E+22,1.32E+03,1.72E+29,9.88E+07,1.62E+06,2.54E+05
2.76E+22,1.37E+03,1.77E+29,1.08E+08,1.78E+06,2.01E+05
3.82E+22,1.43E+03,1.88E+29,1.14E+08,1.96E+06,1.79E+05
5.34E+22,1.48E+03,2.01E+29,1.22E+08,2.15E+06,1.59E+05
6.76E+22,1.54E+03,2.20E+29,1.36E+08,2.37E+06,1.26E+05
9.72E+22,1.60E+03,2.42E+29,1.46E+08,2.61E+06,1.12E+05
1.41E+23,1.66E+03,2.69E+29,1.57E+08,2.87E+06,9.93E+04
1.89E+23,1.73E+03,3.10E+29,1.78E+08,3.16E+06,7.85E+04
2.81E+23,1.79E+03,3.53E+29,1.93E+08,3.48E+06,6.98E+04
3.88E+23,1.86E+03,4.20E+29,2.21E+08,3.83E+06,5.52E+04
6.60E+23,1.95E+03,4.96E+29,2.41E+08,4.22E+06,5.18E+04
1.32E+24,2.13E+03,6.42E+29,3.00E+08,4.64E+06,5.53E+04
2.32E+24,2.29E+03,7.25E+29,3.35E+08,5.11E+06,6.06E+04
4.09E+24,2.43E+03,8.03E+29,3.57E+08,5.62E+06,6.64E+04
7.18E+24,2.54E+03,8.83E+29,3.72E+08,6.19E+06,7.27E+04
1.26E+25,2.55E+03,9.65E+29,3.61E+08,6.81E+06,7.97E+04
2.22E+25,2.83E+03,1.07E+30,4.13E+08,7.50E+06,8.73E+04
3.91E+25,2.77E+03,1.17E+30,3.93E+08,8.25E+06,9.56E+04
6.87E+25,2.75E+03,1.28E+30,3.83E+08,9.09E+06,1.05E+05
1.21E+26,2.79E+03,1.40E+30,3.86E+08,1.00E+07,1.15E+05
